"id","customer","product","sku","price","tags"
"1001","阿部 聡太郎","{""sku"":""BAG-C"",""title"":""帆布书袋"",""price"":""45.00""}","BAG-C","45.00","[""new""]"
"1002","木村 学","{""sku"":""BAG-C"",""title"":""帆布书袋"",""price"":""45.00""}","BAG-C","45.00","[""sample"",""sample""]"
"1003","山田 稔","{""sku"":""BOOK-A"",""title"":""旅行手记"",""price"":""38.00""}","BOOK-A","38.00","[""sample""]"
"1004","前田 亮介","{""sku"":""BAG-C"",""title"":""帆布书袋"",""price"":""45.00""}","BAG-C","45.00","[""sample"",""gift"",""new""]"
"1005","木村 加奈","{""sku"":""BOOK-A"",""title"":""旅行手记"",""price"":""38.00""}","BOOK-A","38.00","[""new"",""new""]"
"1006","阿部 桃子","{""sku"":""BOOK-A"",""title"":""旅行手记"",""price"":""38.00""}","BOOK-A","38.00","[""gift""]"
"1007","青木 充","{""sku"":""PEN-B"",""title"":""绘图钢笔"",""price"":""62.00""}","PEN-B","62.00","[""gift"",""new""]"
"1008","田中 知実","{""sku"":""PEN-B"",""title"":""绘图钢笔"",""price"":""62.00""}","PEN-B","62.00","[""new"",""new"",""sample""]"
"1009","池田 加奈","{""sku"":""BAG-C"",""title"":""帆布书袋"",""price"":""45.00""}","BAG-C","45.00","[""new"",""new"",""gift""]"
"1010","鈴木 幹","{""sku"":""PEN-B"",""title"":""绘图钢笔"",""price"":""62.00""}","PEN-B","62.00","[""new"",""sample"",""new""]"
"1011","松本 舞","{""sku"":""BOOK-A"",""title"":""旅行手记"",""price"":""38.00""}","BOOK-A","38.00","[""new"",""gift""]"
"1012","福田 聡太郎","{""sku"":""PEN-B"",""title"":""绘图钢笔"",""price"":""62.00""}","PEN-B","62.00","[""sample""]"
"1013","山崎 知実","{""sku"":""PEN-B"",""title"":""绘图钢笔"",""price"":""62.00""}","PEN-B","62.00","[""sample"",""sample""]"
"1014","山下 陽子","{""sku"":""PEN-B"",""title"":""绘图钢笔"",""price"":""62.00""}","PEN-B","62.00","[""gift"",""gift"",""gift""]"
"1015","木村 翼","{""sku"":""BOOK-A"",""title"":""旅行手记"",""price"":""38.00""}","BOOK-A","38.00","[""sample"",""new""]"
"1016","松本 千代","{""sku"":""BAG-C"",""title"":""帆布书袋"",""price"":""45.00""}","BAG-C","45.00","[""sample"",""new"",""sample""]"
"1017","佐藤 知実","{""sku"":""PEN-B"",""title"":""绘图钢笔"",""price"":""62.00""}","PEN-B","62.00","[""sample"",""new"",""new""]"
"1018","山本 陽子","{""sku"":""BAG-C"",""title"":""帆布书袋"",""price"":""45.00""}","BAG-C","45.00","[""gift"",""sample"",""gift""]"
"1019","近藤 健一","{""sku"":""BAG-C"",""title"":""帆布书袋"",""price"":""45.00""}","BAG-C","45.00","[""new"",""sample""]"
"1020","高橋 結衣","{""sku"":""BOOK-A"",""title"":""旅行手记"",""price"":""38.00""}","BOOK-A","38.00","[""sample""]"
